CUM;ATC INVIMA;DESCRIPCIÓN ATC;FORMA FARMACÉUTICA;PRODUCTO;CANTIDAD PRINCIPIO ACTIVO;CANTIDAD PRINCIPIO ACTIVO SEGUNDARIO;UNIDAD BASE;VOLUMEN;UNIDAD VOLUMEN;PESO;UNIDAD PESO;CONCENTRACIÓN;UNIDAD CONCENTRACIÓN;CANTIDAD PRINCIPIO ACTIVO POR PRESENTACIÓN COMERCIAL;TITULAR;ESTADO CUM - Marzo 2014;UNIDADES POR PRESENTACIÓN COMERCIAL;UNIDAD DE DISPENSACIÓN DE LA PRESENTACION COMERCIAL;PRESENTACIÓN COMERCIAL;ID MERCADO RELEVANTE;MERCADO RELEVANTE;CIRCULAR - CNPMDM;FECHA DE ENTRADA EN VIGENCIA;MARGEN DE IPS -CIRCULAR 01 2014;ALEMANIA;ARGENTINA;AUSTRALIA;BRASIL;CANADA;CHILE;COLOMBIA;ECUADOR;EE.UU.;ESPAÑA;FRANCIA;MEXICO;NORUEGA;PANAMA;PERU;PORTUGAL;REINO UNIDO;URUGUAY
19994092-1;J05AE06;LOPINAVIR Y RITONAVIR;TABLETA / CAPSULA;KALETRA;100;25;mg;;;;;;;6000;ABBOTT  / ABBVIE;VIGENTE;60;TABLETAS;60 TABLETAS;NA;NA;Circular 06 de 2013;03-oct-13;1958.74;;;;;;;27982,00;;;;;;;;;;;
33103-1;B01AD02;ALTEPLASE;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;ACTILYSE;50;;mg;50;ml;;;1;mg/ml;100;BOEHRINGER;VIGENTE;2;VIALES;2 VIALES;69;ALTEPLASA (ACTIVADOR TISULAR DEL PLASMINÓGENO HUMANO) - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;78568.65;;;;2505374.8;;;2244818.46;4784928.53;;2322831.97;;4052879.57;2010777.91;1252582.32;2474947.77;;2328812.89;
33103-2;B01AD02;ALTEPLASE;POLVO RECONSTITUIR A SOLUCION / SUSPENSION INYECTABLE;ACTILYSE;50;;mg;50;ml;;;1;mg/ml;100;BOEHRINGER;VIGENTE;2;VIALES;2 VIALES;69;ALTEPLASA (ACTIVADOR TISULAR DEL PLASMINÓGENO HUMANO) - Polvo liofilizado p/reconstituir a Sol.Inyectable;Circular 07 de 2013;14-ene-14;78568.65;;;;2505374.8;;;2244818.46;4784928.53;;2322831.97;;4052879.57;2010777.91;1252582.32;2474947.77;;2328812.89;
228406-1;B01AC17;TIROFIBAN;SOLUCION / SUSPENSION INYECTABLE;AGRASTAT;12.5;;mg;50;ml;;;0.25;mg/ml;12.5;ASPEN;VIGENTE;1;VIAL;1 VIAL x 50 ml;126;TIROFIBAN - Solución Inyectable;Circular 07 de 2013;14-ene-14;31451.14;;;620193.29;393934.11;;682880.96;449302.06;643349.99;;449302.06;;306419.95;;464800.14;716358.32;;472587.29;
19950479-1;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;300;SANOFI AVENTIS;VIGENTE;1;CARTUCHO;1 CARTUCHO x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;1014.22;;;17566.24;15404.52;17825.03;14795.75;14488.88;;21625.47;15741.12;14182,00;;13536.7;;28902.42;13678.93;18307.06;
19950479-10;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;3000;SANOFI AVENTIS;VIGENTE;10;CARTUCHOS;10 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;10142.22;;;175662.37;154045.19;178250.33;147957.54;144888.79;;216254.65;157411.15;141820.04;;135367,00;;289024.19;136789.29;183070.57;
19950479-11;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;300;SANOFI AVENTIS;VIGENTE;1;CARTUCHO;1 CARTUCHO x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;1014.22;;;17566.24;15404.52;17825.03;14795.75;14488.88;;21625.47;15741.12;14182,00;;13536.7;;28902.42;13678.93;18307.06;
19950479-12;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;900;SANOFI AVENTIS;VIGENTE;3;CARTUCHOS;3 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;3042.66;;;52698.71;46213.56;53475.1;44387.26;43466.64;;64876.4;47223.35;42546.01;;40610.1;;86707.26;41036.79;54921.17;
19950479-13;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1200;SANOFI AVENTIS;VIGENTE;4;CARTUCHOS;4 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;4056.89;;;70264.95;61618.08;71300.13;59183.02;57955.52;;86501.86;62964.46;56728.02;;54146.8;;115609.67;54715.72;73228.23;
19950479-14;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1500;SANOFI AVENTIS;VIGENTE;5;CARTUCHOS;5 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;5071.11;;;87831.18;77022.59;89125.16;73978.77;72444.4;;108127.33;78705.58;70910.02;;67683.5;;144512.09;68394.64;91535.28;
19950479-15;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1800;SANOFI AVENTIS;VIGENTE;6;CARTUCHOS;6 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;6085.33;;;105397.42;92427.11;106950.2;88774.53;86933.28;;129752.79;94446.69;85092.03;;81220.2;;173414.51;82073.57;109842.34;
19950479-16;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;2400;SANOFI AVENTIS;VIGENTE;8;CARTUCHOS;8 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;8113.77;;;140529.89;123236.15;142600.26;118366.03;115911.03;;173003.72;125928.92;113456.03;;108293.6;;231219.35;109431.43;146456.46;
19950479-17;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;2700;SANOFI AVENTIS;VIGENTE;9;CARTUCHOS;9 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;9127.99;;;158096.13;138640.67;160425.29;133161.79;130399.91;;194629.19;141670.04;127638.04;;121830.3;;260121.77;123110.36;164763.51;
19950479-18;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;3000;SANOFI AVENTIS;VIGENTE;10;CARTUCHOS;10 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;10142.22;;;175662.37;154045.19;178250.33;147957.54;144888.79;;216254.65;157411.15;141820.04;;135367,00;;289024.19;136789.29;183070.57;
19950479-19;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;300;SANOFI AVENTIS;VIGENTE;1;CARTUCHO;1 CARTUCHO x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;1014.22;;;17566.24;15404.52;17825.03;14795.75;14488.88;;21625.47;15741.12;14182,00;;13536.7;;28902.42;13678.93;18307.06;
19950479-2;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1500;SANOFI AVENTIS;VIGENTE;5;CARTUCHOS;5 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;5071.11;;;87831.18;77022.59;89125.16;73978.77;72444.4;;108127.33;78705.58;70910.02;;67683.5;;144512.09;68394.64;91535.28;
19950479-20;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1500;SANOFI AVENTIS;VIGENTE;5;CARTUCHOS;5 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;5071.11;;;87831.18;77022.59;89125.16;73978.77;72444.4;;108127.33;78705.58;70910.02;;67683.5;;144512.09;68394.64;91535.28;
19950479-3;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;300;SANOFI AVENTIS;VIGENTE;1;CARTUCHO;1 CARTUCHO x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;1014.22;;;17566.24;15404.52;17825.03;14795.75;14488.88;;21625.47;15741.12;14182,00;;13536.7;;28902.42;13678.93;18307.06;
19950479-4;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;900;SANOFI AVENTIS;VIGENTE;3;CARTUCHOS;3 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;3042.66;;;52698.71;46213.56;53475.1;44387.26;43466.64;;64876.4;47223.35;42546.01;;40610.1;;86707.26;41036.79;54921.17;
19950479-5;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1200;SANOFI AVENTIS;VIGENTE;4;CARTUCHOS;4 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;4056.89;;;70264.95;61618.08;71300.13;59183.02;57955.52;;86501.86;62964.46;56728.02;;54146.8;;115609.67;54715.72;73228.23;
19950479-6;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1500;SANOFI AVENTIS;VIGENTE;5;CARTUCHOS;5 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;5071.11;;;87831.18;77022.59;89125.16;73978.77;72444.4;;108127.33;78705.58;70910.02;;67683.5;;144512.09;68394.64;91535.28;
19950479-7;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;1800;SANOFI AVENTIS;VIGENTE;6;CARTUCHOS;6 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;6085.33;;;105397.42;92427.11;106950.2;88774.53;86933.28;;129752.79;94446.69;85092.03;;81220.2;;173414.51;82073.57;109842.34;
19950479-8;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;2400;SANOFI AVENTIS;VIGENTE;8;CARTUCHOS;8 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;8113.77;;;140529.89;123236.15;142600.26;118366.03;115911.03;;173003.72;125928.92;113456.03;;108293.6;;231219.35;109431.43;146456.46;
19950479-9;A10AB06;INSULINA GLULISINA;SOLUCION / SUSPENSION INYECTABLE;APIDRA;300;;UI;3;ml;;;100;UI/ml;2700;SANOFI AVENTIS;VIGENTE;9;CARTUCHOS;9 CARTUCHOS x 3 ml;97;INSULINA GLULISINA - Solución Inyectable;Circular 07 de 2013;14-ene-14;9127.99;;;158096.13;138640.67;160425.29;133161.79;130399.91;;194629.19;141670.04;127638.04;;121830.3;;260121.77;123110.36;164763.51;
230658-1;L04AA13;LEFLUNOMIDE;TABLETA / CAPSULA;ARAVA;20;;mg;;;;;;;600;SANOFI AVENTIS;VIGENTE;30;TABLETAS;30 TABLETAS;101;LEFLUNOMIDA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;9624.92;363083.73;;155031.92;148168.68;601662.85;;137498.93;;834624.15;90358.4;159150.47;143649.85;158462.99;;117869.21;119046.16;198434.27;
230660-1;L04AA13;LEFLUNOMIDE;TABLETA / CAPSULA;ARAVA;100;;mg;;;;;;;300;SANOFI AVENTIS;VIGENTE;3;TABLETAS;3 TABLETAS;101;LEFLUNOMIDA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;4812.46;181541.86;;77515.96;74084.34;300831.43;;68749.46;;417312.08;45179.2;79575.24;71824.92;79231.49;;58934.61;59523.08;99217.13;
19903238-1;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;375;PFIZER;VIGENTE;15;TABLETAS;15 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;8504.23;;;121488.98;158624.76;144295.72;;121488.98;;436371.4;;67618.14;;137004.89;;128872.56;83026.18;143610.13;
19903238-11;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;1500;PFIZER;VIGENTE;60;TABLETAS;60 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;34016.91;;;485955.9;634499.02;577182.9;;485955.9;;1745485.62;;270472.54;;548019.56;;515490.24;332104.74;574440.51;
19903238-12;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;2250;PFIZER;VIGENTE;90;TABLETAS;90 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;51025.37;;;728933.85;951748.54;865774.35;;728933.85;;2618228.43;;405708.82;;822029.33;;773235.36;498157.11;861660.77;
19903238-13;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;2500;PFIZER;VIGENTE;100;TABLETAS;100 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;56694.86;;;809926.5;1057498.37;961971.5;;809926.5;;2909142.7;;450787.57;;913365.93;;859150.4;553507.9;957400.85;
19903238-2;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;750;PFIZER;VIGENTE;30;TABLETAS;30 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;17008.46;;;242977.95;317249.51;288591.45;;242977.95;;872742.81;;135236.27;;274009.78;;257745.12;166052.37;287220.26;
19903238-3;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;2250;PFIZER;VIGENTE;90;TABLETAS;90 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;51025.37;;;728933.85;951748.54;865774.35;;728933.85;;2618228.43;;405708.82;;822029.33;;773235.36;498157.11;861660.77;
19903238-5;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;250;PFIZER;VIGENTE;10;TABLETAS;10 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;5669.49;;;80992.65;105749.84;96197.15;;80992.65;;290914.27;;45078.76;;91336.59;;85915.04;55350.79;95740.09;
19903238-6;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;500;PFIZER;VIGENTE;20;TABLETAS;20 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;11338.97;;;161985.3;211499.67;192394.3;;161985.3;;581828.54;;90157.51;;182673.19;;171830.08;110701.58;191480.17;
19903238-7;L02BG06;EXEMESTANO;TABLETA / CAPSULA;AROMASIN;25;;mg;;;;;;;1250;PFIZER;VIGENTE;50;TABLETAS;50 TABLETAS;84;EXEMESTANO - Tableta/Capsula;Circular 07 de 2013;14-ene-14;28347.43;;;404963.25;528749.19;480985.75;;404963.25;;1454571.35;;225393.79;;456682.96;;429575.2;276753.95;478700.43;
19943209-1;L04AD01;CICLOSPORINA;TABLETA / CAPSULA;BIOSPORIN;50;;mg;;;;;;;500;BIOTOSCANA;VIGENTE;10;CAPSULAS;10 CAPSULAS;77;CICLOSPORINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;1810.49;57717.35;;52075.45;19568.24;51710.12;;25864.09;;68677.12;26379.72;45297.56;;41792.54;55260.98;20068.61;24317.2;40809.93;
19943209-2;L04AD01;CICLOSPORINA;TABLETA / CAPSULA;BIOSPORIN;50;;mg;;;;;;;2500;BIOTOSCANA;VIGENTE;50;CAPSULAS;50 CAPSULAS;77;CICLOSPORINA - Tableta/Capsula;Circular 07 de 2013;14-ene-14;9052.43;288586.73;;260377.27;97841.21;258550.62;;129320.45;;343385.62;131898.6;226487.78;;208962.71;276304.92;100343.04;121586,00;204049.65;
